Genotype,Animal,Day,State,Total seconds,Mean transient amplitude (dF/F*s),Standardized,Sleep phase
DAT,0,0,NREM,13070,0.01170801111,False,following
DAT,0,0,REM,3280,0.011250625,False,following
DAT,0,0,WAKE,7650,0.01056571111,False,following
DAT,0,1,NREM,17310,0.009746966667,False,following
DAT,0,1,REM,1380,0.01050120833,False,following
DAT,0,1,WAKE,18840,0.009858536111,False,following
DAT,0,2,NREM,14015,0.01118149444,False,following
DAT,0,2,REM,3130,0.01096201111,False,following
DAT,0,2,WAKE,11995,0.01298198333,False,following
DAT,0,3,NREM,18080,0.008716611111,False,following
DAT,0,4,NREM,13820,0.01027340278,False,following
DAT,0,3,REM,1975,0.01070328333,False,following
DAT,0,4,REM,1935,0.01126230556,False,following
DAT,0,3,WAKE,10475,0.01055341944,False,following
DAT,0,4,WAKE,12895,0.01002390833,False,following
DAT,1,0,NREM,20360,0.01718364167,False,following
DAT,1,0,REM,2780,0.01931434722,False,following
DAT,1,0,WAKE,11610,0.01907618611,False,following
DAT,1,1,NREM,15045,0.01677481667,False,following
DAT,1,1,REM,1855,0.02201628333,False,following
DAT,1,1,WAKE,5060,0.01698955278,False,following
DAT,1,2,NREM,22200,0.01724731111,False,following
DAT,1,2,REM,3190,0.01934027778,False,following
DAT,1,2,WAKE,9150,0.01670400278,False,following
DAT,1,3,NREM,21525,0.01317537222,False,following
DAT,1,4,NREM,22650,0.01474664167,False,following
DAT,1,3,REM,2915,0.01649283056,False,following
DAT,1,4,REM,3170,0.01712881111,False,following
DAT,1,3,WAKE,5700,0.01333677778,False,following
DAT,1,4,WAKE,4060,0.01629894167,False,following
VGAT,2,0,NREM,16585,0.02767557652,False,following
VGAT,2,0,REM,2210,0.0425235405,False,following
VGAT,2,0,WAKE,14125,0.02633965475,False,following
VGAT,2,1,NREM,15940,0.01491315,False,following
VGAT,2,1,REM,2130,0.01970238056,False,following
VGAT,2,1,WAKE,11200,0.01580544722,False,following
VGAT,2,2,NREM,15880,0.01478883333,False,following
VGAT,2,2,REM,1870,0.03200980556,False,following
VGAT,2,2,WAKE,11850,0.0134612,False,following
VGAT,2,3,NREM,13795,0.01078240833,False,following
VGAT,2,3,REM,2480,0.01909448889,False,following
VGAT,2,3,WAKE,13235,0.008624430556,False,following
VGAT,2,4,NREM,14890,0.02938658333,False,following
VGAT,2,4,REM,1650,0.02932169444,False,following
VGAT,2,4,WAKE,15950,0.01755063056,False,following
VGAT,3,0,NREM,17165,0.01267557652,False,following
VGAT,3,0,REM,1360,0.01073800505,False,following
VGAT,3,0,WAKE,7535,0.01462728821,False,following
VGAT,3,1,NREM,17735,0.008353061111,False,following
VGAT,3,1,REM,2435,0.01015180833,False,following
VGAT,3,1,WAKE,12200,0.006433558333,False,following
VGAT,3,2,NREM,23185,0.008484408333,False,following
VGAT,3,2,REM,2490,0.01377306944,False,following
VGAT,3,2,WAKE,3995,0.006212697222,False,following
VGAT,3,3,NREM,21650,0.008921991667,False,following
VGAT,3,3,REM,2630,0.01509740833,False,following
